,0
375,hype williams
376,bicep
377,action bronson
378,kodak black
379,alex chilton
380,queens of the stone age
381,liars
382,dave east
383,underworld
384,joe bataan
385,dangelo
386,filthy friends
387,daniel caesar
388,b12
389,the war on drugs
390,ema
391,turnover
392,joseph shabason
393,lil b
394,iron & wine
395,sannhet
396,vijay iyer sextet
397,brand new
398,rainer maria
399,oh sees
400,maya jane coles
401,alice glass
402,khalil
403,tobacco
404,a$ap ferg
405,cloakroom
406,mozzy
407,tears for fears
408,link wray
409,samantha urbani
410,blondes
411,trailer trash tracys
412,grizzly bear
413,everything everything
414,dent may
415,inc. no world
416,lil peep
417,the cars
418,myke bogan
419,bosco
420,madonna
421,dean hurley
422,tyshawn sorey
423,tall friend
424,oneohtrix point never
425,aesop rock
426,amy o
427,house of feelings
428,fiona apple
429,a$ap twelvyy
430,the yawpers
431,dale crover
432,the districts
433,kesha
434,guided by voices
435,lal & mike waterson
436,photay 
437,frankie rose
438,nadia sirota
439,katie von schleicher
440,milo
441,downtown boys
442,naomi punk
443,stas thee boss
444,ty segall
445,flash trading
446,wifisfuneral
447,moon king
448,randy newman
449,konx-om-pax
450,caroline says
451,manchester orchestra
452,sparklehorse
453,badbadnotgood
454,dead cross
455,soccer mommy
456,sote
457,julia michaels
458,briana marela
459,joywave
460,brian eno
461,people like you
462,couch slut
463,tchornobog
464,romeo santos
465,"nav, metro boomin"
466,"joe henderson, alice coltrane"
467,mhysa
468,amin
469,wizkid
470,declan mckenna
471,vic mensa
472,ross from friends
473,pan daijing
474,denitia
475,silver jews
476,sontag shogun
477,sudan archives
478,dj bone
479,arcade fire
480,suicideyear
481,"jeremy greenspan, taraval"
482,golden retriever
483,meek mill
484,snail mail
485,pickwick
486,lory d
487,nine inch nails
488,gal costa
489,this is the kit
490,quindar
491,lana del rey
492,avey tare
493,bedouine
494,jana rush
495,foster the people
496,the beacon sound choir
497,us and us only
498,stereolab
499,ramones
500,psychic tv
501,lo tom
502,"bjrn torske, prins thomas"
503,"tyler, the creator"
504,dizzee rascal
505,burnt friedman
506,patricia
507,cornelius
508,terrace martin presents the pollyseeds
509,cousin stizz
510,holy shit
511,french montana
512,sqrl
513,jean-jacques perrey
514,art feynman
515,japanese breakfast
516,mura masa
517,coca leaf
518,claude speeed
519,coldplay
520,dasher
521,mr jukes
522,mike cooper
523,sw.
524,guns n' roses
525,shabazz palaces
526,sheer mag
527,yoko ono
528,integrity
529,waxahatchee
530,moon diagrams
531,dj shadow
532,boris
533,21 savage
534,public enemy
535,ex eye
536,great grandpa
537,toro y moi
538,chronixx
539,ndia
540,broken social scene
541,kacy hill
542,brightness
543,heaven in her arms
544,sau poler
545,dj khaled
546,porter ricks
547,pep llopis
548,conway
549,haim
550,calvin harris
551,baio
552,portugal. the man
553,beach house
554,tlc
555,james elkington
556,steffi
557,jay-z
558,clams casino
559,lapalux
560,guerilla toss
561,marvin gaye
562,the beach boys
563,algiers
564,bill orcutt
565,white suns
566,mike
567,nicholas britell
568,ennanga vision
569,turtlenecked
570,washed out
571,david bowie
572,mc eiht
573,laurel halo
574,floating points
575,colter wall
576,cybe
577,jeff tweedy
578,the monks
579,rozwell kid
580,jefre cantu-ledesma
581,"prince, the revolution"
582,beth ditto
583,karen gwyer
584,suffocation
585,impetuous ritual
586,zz top
587,com truise
588,"keith rowe, michael pisaro"
589,"amir elsaffar, rivers of sound"
590,vince staples
591,palehound
592,h.e.r.
593,showtime goma
594,radiohead
595,steve earle & the dukes
596,fhloston paradigm
597,palm
598,kevin morby
599,the drums
600,larkin grimm
601,scott gilmore
602,young thug
603,peaking lights
604,hudson
605,camille
606,big boi
607,ride
608,benjamin booker
609,house and land
610,destinys child
611,can
612,jason isbell and the 400 unit
613,glen campbell
614,umfang
615,lorde
616,2 chainz
617,lynn castle
618,rancid
619,fleet foxes
620,dj sports
621,slow dancer
622,katy perry
623,amber coffman
624,tops
625,joni void
626,sza
627,"sufjan stevens, nico muhly, bryce dessner, james mcalister"
628,richard dawson
629,chuck berry
630,sahbabii
631,"lindsey buckingham, christine mcvie"
632,pixx
633,murlo
634,norska
635,salt-n-pepa
636,royal trux
637,saint etienne
638,arve henriksen
639,robert hood
640,big thief
641,jimi tents
642,smidley
643,king tubby & the aggrovators
644,phoenix
645,perera elsewhere
646,mark mcguire
647,cigarettes after sex
648,halsey
649,beach fossils
650,major lazer
651,alt-j
652,chastity belt
653,omar souleyman
654,the charlatans uk
655,chuck johnson
656,pet symmetry
657,tofubeats
658,ghostface killah
659,tony conrad
660,martin rev
661,loss
662,shinichi atobe
663,bleachers
664,kettenkarussell
665,look blue go purple
666,marika hackman
667,snoop dogg
668,dan auerbach
669,elysia crampton
670,ricardo villalobos
671,bryson tiller
672,swet shop boys
673,first hate
674,thunder dreamer
675,rjmrla
676,jj doom
677,obnox
678,patti smith group
679,roger waters
680,jaco pastorius
681,"mary lattimore, elysse thebner miller"
682,kikagaku moyo
683,lil yachty
684,james place
685,mulatu astatke
686,man forever
687,"t-pain, lil wayne"
688,sam amidon
689,dreamcar
690,everything is recorded
691,wavves
692,helium
693,!!!
694,dr. octagon
695,nick hakim
696,khotin
697,"faith evans, the notorious b.i.g."
698,the mountain goats
699,vatican shadow
700,hanna
701,new jackson
702,will stratton
703,violent femmes
704,nick murphy
705,wale
706,ellen allien
707,heather trost
708,(sandy) alex g
709,j hus
710,michael mayer
711,ho99o9
712,jlin
713,tigers jaw
714,land of talk
715,mc bin laden
716,do make say think
717,"jonny nash, suzanne kraft"
718,moon duo
719,nightlands
720,harry styles
721,hoops
722,tall juan
723,paramore
724,chino amobi
725,spencer radcliffe & everyone else
726,the van pelt
727,endlings
728,nick cave & the bad seeds
729,sevdaliza
730,slackk
731,acemo
732,girlpool
733,logic
734,brother ali
735,fazerdaze
736,animal collective
737,blondie
738,oxbow
739,penguin cafe
740,alice coltrane
741,todd rundgren
742,nite jewel
743,croatian amor
744,at the drive in
745,juana molina
746,bonnie prince billy
747,full of hell
748,slowdive
749,black lips
750,joan shelley
751,niia
752,horse lords
753,green day
754,grateful dead
755,forest swords
756,tiny vipers
757,kweku collins
758,perfume genius
759,the afghan whigs
760,cabo boing
761,mac demarco
762,pond
763,priests
764,cashmere cat
765,kara-lis coverdale
766,aaron dilloway
767,bnqt
768,colin stetson
769,autarkic
770,wall
771,mary j. blige
772,ryuichi sakamoto
773,sophia kennedy
774,juliana hatfield
775,mark lanegan band
776,fugazi
777,anamai
778,jmsn
779,swans
780,gorillaz
781,thurston moore
782,the new year
783,college
784,feist
785,collin strange
786,luc ferrari
787,software
788,sylvan esso
789,mew
790,tara jane oneil
791,real life buildings
792,bruce springsteen and the e street band
793,ravyn lenae
794,tee grizzley
795,shugo tokumaru
796,woods
797,formation
798,valgeir sigursson
799,caddywhompus
800,nocow
801,portishead
802,playboi carti
803,meredith monk
804,rich homie quan
805,golden pelicans
806,gas
807,charly bliss
808,blue iverson
809,the blaze
810,mr. mitch
811,j dilla
812,kelly moran
813,john mayer
814,san fermin
815,hovvdy
816,alexandra savior
817,kendrick lamar
818,ray davies
819,thelonious monk
820,loose tooth
821,joe goddard
822,phew
823,arto lindsay
824,"vicky chow, michael gordon"
825,black flag
826,lydia ainsworth
827,mary lattimore
828,connoisseur
829,little dragon
830,raekwon
831,cupcakke
832,passion pit
833,body count
834,section boyz
835,actress
836,lil ugly mane
837,vanbot
838,allan kingdom
839,the chainsmokers
840,goldlink
841,overmono
842,future islands
843,joey bada$$
844,varg
845,the spirit of the beehive
846,annie hardy
847,sade
848,the new pornographers
849,davy kehoe
850,cory branan
851,clark
852,father john misty
853,diet cig
854,white reaper
855,soulwax
856,dopplereffekt
857,aye nako
858,"joshua abrams, natural information society"
859,arca
860,milk music
861,show me the body
862,wire
863,jamiroquai
864,daniel brandt
865,orchestra baobab
866,julia holter
867,british sea power
868,ahmad jamal
869,liquid liquid
870,rick ross
871,aimee mann
872,boss hog
873,arthur russell
874,mike will made-it
875,pile
876,wolf eyes
877,janka nabay and the bubu gang
878,pharmakon
879,sacred paws
880,goldfrapp
881,freddie gibbs
882,nelly furtado
883,"starlito, don trip"
884,ragnar grippe
885,kelly lee owens
886,paul mccartney
887,chaz bundick meets the mattson 2
888,karima walker
889,diamanda gals
890,tonstartssbandht
891,jacques greene
892,sneaks
893,glenn gould
894,"chilly gonzales, jarvis cocker"
895,the courtneys
896,octo octa
897,cameron avery
898,mount eerie
899,pallbearer
900,fucked up
901,the fun years
902,craig finn
903,sorority noise
904,porter ray
905,lea bertucci
906,drake
907,talaboman
908,the bug vs earth
909,giusto pio
910,real estate
911,laetitia sadier source ensemble
912,miles okazaki
913,joakim
914,the jesus and mary chain
915,soundgarden
916,spiral stairs
917,obituary
918,adult.
919,wailing souls
920,depeche mode
921,the creation
922,bonny doon
923,anohni
924,ne-hi
925,shobaleader one
926,grid
927,spoon
928,your old droog
929,sarah davachi
930,daym arocena
931,hurray for the riff raff
932,drexciya
933,parlor walls
934,"jean-michel blais, cfcf"
935,conor oberst
936,laura marling
937,buzzcocks
938,lil durk
939,the shins
940,midori takada
941,tennis
942,children of alice
943,elucid
944,fleetwood mac
945,roc marciano
946,blanck mass
947,jos james
948,jay som
949,steve lacy
950,rolling blackouts coastal fever
951,"john carpenter, ennio morricone"
952,the notorious b.i.g.
953,puff daddy & the family
954,immolation
955,elliott smith
956,why?
957,erasmo carlos
958,ibibio sound machine
959,the magnetic fields
960,peter silberman
961,sleaford mods
962,dmx
963,clap your hands say yeah
964,cameron graves
965,career suicide
966,future
967,pc worship
968,aseethe
969,dams of the west
970,vagabon
971,oddisee
972,sherwood & pinch
973,karriem riggins
974,power trip
975,los campesinos!
976,pissed jeans
977,xiu xiu
978,sun kil moon
979,stormzy
980,entrance
981,six organs of admittance
982,flume
983,thundercat
984,the feelies
985,jonwayne
986,six by seven
987,kingdom
988,grails
989,alison krauss
990,dirty projectors
991,crystal fairy
992,wild pink
993,strand of oaks
994,rhiannon giddens
995,tim darcy
996,jidenna
997,jens lekman
998,vermont
999,sir
1000,bing & ruth
1001,earthen sea
1002,mozarts sister
1003,"fat joe, remy ma"
1004,fatima yamaha
1005,amnesia scanner
1006,tinariwen
